UUID,Japanese,English,KitsunekkoID,MyAnimeListID
2240f0a3-5171-4602-9a45-556bb3bdd70c,アップルシ－ド,Appleseed,Appleseed,54
a3ec425c-aa3b-4711-8129-3f5207686581,アトム ザ・ビギニング,Atom: The Beginning,Atom_the_Beginning,33371
7ba0dd21-e930-471e-8a47-16654837d97b,アニメミライ,Anime Mirai,Anime Mirai 2014,0
6562ace4-6d2c-4a3a-b84e-771cb777a201,アニメ店長x東方Project,Anime Tenchou x Touhou Project,Touhou,9875
f750e67e-3b18-405f-ba29-08c5dcb86777,アホガール,AHO-GIRL,Aho Girl,34881
c27f5228-7896-4be4-bd4f-e1b89473710f,アルスラーン戦記,The Heroic Legend of Arslan,Arslan_Senki,28249
5d2569b8-20b7-45bb-979a-c67265111fbe,アルプスの少女ハイジ,Alps no Shoujo Heidi,"Heidi,_Girl_Of_The_Alps",2225
c14b244d-f739-430b-aa89-79e3c757f74e,イエスタデイをうたって,"Sing ""Yesterday"" for Me",Yesterday wo Utatte,39710
cd7ac41e-6130-4610-a5ae-048319f038b3,イナズマイレブン,Inazuma Eleven,Inazuma_Eleven,5231
60ae92c1-2fbc-41c3-8b3a-1e3fb18f6157,イナズマイレブン Go,Inazuma Eleven Go,Inazuma_Eleven_GO,10507
3871900c-a83e-4466-aa69-a76a58676191,イナズマイレブン オリオンの刻印,Inazuma Eleven: Orion no Kokuin,Inazuma Eleven_ Orion no Kokuin,38235
db774f3c-749d-41cc-ad16-94ba056654a0,イナズマイレブンＧＯ ギャラクシー,Inazuma Eleven Go: Galaxy,Inazuma_Eleven_GO_Galaxy,18097
0aa666ab-2278-4baa-a5cf-09c00abe578a,オーバーロード,Overlord,Overlord,29803
25e18f2b-7f07-4a3a-b0fa-29bfbf0228e0,カウボーイビバップ,Cowboy Bebop,Cowboy Bebop,1
821707ef-65d8-4f8d-bd25-0c3ed03fda7f,カブキブ！,Kabukibu!,Kabukibu,33840
3bd64e3c-2c77-4665-b91a-e2c9bdfa0340,カリギュラ,Caligula,Caligula,36828
29abf688-d440-44ab-8624-e951090f6cb5,カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～,Campione!,Campione!,12293
628e35e3-f2f8-493a-9530-e7ddfe5c86df,カードファイト!! ヴァンガード,Cardfight!! Vanguard,Cardfight!!_Vanguard,9539
5e3477ef-69aa-4438-93fe-cdb2d2b1146f,カードファイト!! ヴァンガード アジアサーキット編,Cardfight!! Vanguard Asia Circuit,Cardfight!!_Vanguard_Asia_Circuit_Hen,13145
b8299cd3-17ef-4725-bc50-d9c379e6bebb,カードファイト!! ヴァンガード リンクジョーカー編,Cardfight!! Vanguard Link Joker,Cardfight!!_Vanguard_Link_Joker_Hen,15611
6e9f7c4e-93c1-42e7-a7a5-37c50974a0b9,カードファイト!! ヴァンガード レギオンメイト編,Cardfight!! Vanguard Legion Mate,Cardfight!!_Vanguard_Legion_Mate_Hen,21729
36f9e678-5f23-40a3-a821-625ce046ff2e,カードファイト!! ヴァンガードG,Cardfight!! Vanguard G,Cardfight!!_Vanguard_G,27815
5242734b-13bd-48c6-9cff-4fd07193dcab,ガイコツ書店員本田さん,Skull-face Bookseller Honda-san,Gaikotsu Shotenin Honda-san,36317
9152931b-f814-41f7-b247-cd268d5aa8e0,ガイストクラッシャー,Gaist Crusher,Gaist_Crusher,19871
cb81440a-bc15-4fe1-b9f9-de37df7420f2,ガラスの花と壊す世界,Garakowa -Restore the World-,Glass no Hana to Kowasu Sekai - Garakowa,25907
51506606-485a-4fed-be99-2966eb3931ad,ガリレイドンナ,Galilei Donna: Storia di tre sorelle a caccia di un mistero,Galilei_Donna,19367
4c959d02-f888-4cf6-b554-242461270ce5,ガンダム Gのレコンギスタ,Gundam Reconguista in G,Gundam_G_No_Reconguista,23259
